,Computer 1,Computer 2,Depth,First Player,Win
,heuristic1,heuristic2,2,Computer 1,Computer 2
,,,5,Computer 1,Computer 2
,,,10,Computer 1,Computer 1
,,,2,Computer 2,Computer 2
,,,5,Computer 2,Computer 2
,,,10,Computer 2,Computer 2
,heuristic1,heuristic3,2,Computer 1,Computer 2
,,,5,Computer 1,Computer 1
,,,10,Computer 1,Computer 1
,,,2,Computer 2,Computer 1
,,,5,Computer 2,Computer 2
,,,10,Computer 2,Draw
,heuristic2,heuristic3,2,Computer 1,Computer 1
,,,5,Computer 1,Computer 2
,,,10,Computer 1,Computer 1
,,,2,Computer 2,Computer 2
,,,5,Computer 2,Computer 2
,,,10,Computer 2,Computer 2
